sca,age,minutes_90s,tackles_def_3rd,tackles_mid_3rd,assisted_shots,touches_att_pen_area,dribbles_completed,progressive_passes_received,shots_on_target,shots_per90,goals_per_shot,average_shot_distance,shots_free_kicks
16,-0.970844244,0.188268789,-0.744637173,-0.765785365,-0.211727977,1.099034009,0.031298193,0.810387539,1.173870974,0.730132984,-0.430309732,0.539780211,3.144873818
4,-0.490368199,0.188268789,1.975937068,0.741404354,-0.211727977,-0.051928731,0.031298193,1.167594726,-0.559908918,-0.333693663,-0.430309732,0.385205731,-0.219685962
3,0.230345869,-1.10832852,-0.744637173,0.741404354,-0.710601936,-0.512313827,-0.543911832,-0.7970448,-0.559908918,0.172890455,-0.430309732,-1.241186621,-0.219685962
0,-0.490368199,0.431380785,0.343592523,0.741404354,-0.710601936,-0.742506375,-0.543911832,-0.7970448,-0.559908918,-0.333693663,-0.430309732,0.522978636,-0.219685962
0,1.431535981,-1.270403183,-0.744637173,-0.765785365,-0.710601936,-0.742506375,0.031298193,-0.7970448,-0.559908918,-0.333693663,-0.430309732,0.307918491,-0.219685962
1,0.470583891,0.269306121,-0.744637173,-0.765785365,0.287145981,-0.051928731,1.756928265,0.453180353,-0.559908918,-0.219712237,-0.430309732,1.413462053,-0.219685962
7,-0.250130176,-0.622104529,0.887707372,-0.765785365,-0.710601936,-0.512313827,-0.543911832,-0.26123402,-0.559908918,-0.333693663,-0.430309732,0.270955028,-0.219685962
1,0.230345869,-0.703141861,-0.744637173,-0.012190505,-0.710601936,-0.742506375,-0.543911832,-0.26123402,-0.559908918,-0.333693663,-0.430309732,0.012210791,-0.219685962
2,1.191297958,-0.135880538,1.975937068,-0.012190505,-0.710601936,-0.512313827,1.756928265,-0.7970448,-0.559908918,-0.186784269,-0.430309732,2.371151763,-0.219685962
2,-1.211082266,-0.541067197,-0.744637173,-0.765785365,-0.710601936,-0.742506375,-0.543911832,-0.7970448,-0.559908918,-0.333693663,-0.430309732,-0.004590783,-0.219685962
