"player","position","team","age","goals_assists_per90","cards_red","cards_yellow","sca","passes_completed","average_shot_distance"
"Gonzalo Montiel","DF","Argentina",25,0,0,3,3,69,27.3
"Gonzalo Plata","MF","Ecuador",22,0,0,0,3,77,15.2
"Gonçalo Ramos","FW","Portugal",21,2.37,0,0,2,25,11.3
"Granit Xhaka","MF","Switzerland",30,0,0,1,6,215,21.6
"Gregor Kobel","GK","Switzerland",25,0,0,0,0,21,NA
"Grzegorz Krychowiak","MF","Poland",32,0,0,1,5,93,29.9
"Guido Rodríguez","MF","Argentina",28,0,0,0,0,54,NA
"Guillermo Ochoa","GK","Mexico",37,0,0,0,3,93,NA
"Guillermo Varela","DF","Uruguay",29,0,0,0,2,62,NA
"Haji Wright","FW","United States",24,0.66,0,0,3,20,13.6
"Hakim Ziyech","FW","Morocco",29,0.28,0,0,20,211,27.2
"Hannibal Mejbri","MF","Tunisia",19,0,0,0,0,2,NA
"Haris Seferovi?","FW","Switzerland",30,0,0,0,1,10,12.8
"Harry Kane","FW","England",29,1.12,0,0,10,62,20.4
"Harry Maguire","DF","England",29,0.21,0,1,6,354,10
"Harry Souttar","DF","Australia",24,0,0,0,2,138,8.5
"Harry Wilson","MF","Wales",25,0,0,0,4,48,20.9
"Hassan Al Tambakti","DF","Saudi Arabia",23,0,0,1,0,40,NA
"Hassan Al-Haydos","MF","Qatar",32,0,0,0,6,65,29.2
"Hattan Bahebri","MF","Saudi Arabia",30,22.5,0,1,1,4,NA
"Henry Martín","FW","Mexico",30,0.62,0,0,6,13,9.9
"Hernán Galíndez","GK","Ecuador",35,0,0,0,0,44,NA
"Hidemasa Morita","MF","Japan",27,0,0,0,9,129,22.9
"Hiroki Ito","DF","Japan",23,0,0,0,1,58,NA
"Hiroki Sakai","MF","Japan",32,0,0,0,2,28,5.4
"Hirving Lozano","FW","Mexico",27,0,0,0,20,42,26
"Homam Ahmed","DF","Qatar",23,0,0,1,3,77,NA
"Hong Chul","DF","Korea Republic",32,0,0,0,1,17,NA
"Hossein Hosseini","GK","IR Iran",30,0,0,0,0,23,NA
"Hossein Kanaanizadegan","DF","IR Iran",28,0,0,1,0,8,NA
"Hugo Lloris","GK","France",35,0,0,0,1,110,NA
"Hwang Hee-chan","MF","Korea Republic",26,0.78,0,1,3,45,17.5
"Hwang In-beom","MF","Korea Republic",26,0,0,0,6,194,27.1
"Hwang Ui-jo","FW","Korea Republic",30,0,0,0,0,9,10.5
"Héctor Herrera","MF","Mexico",32,0,0,1,3,64,NA
"Héctor Moreno","DF","Mexico",34,0,0,1,1,165,5.8
"Ibrahima Konaté","DF","France",23,0,0,0,4,216,7.7
"Idrissa Gana Gueye","MF","Senegal",33,0,0,2,7,107,19.6
"Ilias Chair","MF","Morocco",25,0,0,0,1,13,NA
"Iliman Ndiaye","FW","Senegal",22,0.67,0,0,4,25,18.6
"Ismail Jakobs","DF","Senegal",23,0.32,0,1,6,107,31
"Ismail Mohamad","FW","Qatar",32,0.52,0,1,NA,NA,NA
