player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,games,minutes,minutes_per_game,minutes_pct,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,games,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Jung Woo-young,MF,Korea Republic,32,1989,3.4,5,4,3,2,0,2,3,66.7,1,3,1,2,3,8,7,0,7,2.08,7,0,0,0,0,0,1,0.3,1,0,0,0,0,0,2,0,0,11,0,0,1,3,4,0,1,0,24,6,2,75,178,211,84.4,3599,1019,67,75,89.3,78,88,88.6,31,42,73.8,0,0.1,0.1,-0.1,2,25,2,0,14,211,208,1,1,0,5,1,0,0,0,0,0,178,2,3,4,303,76,84.2,4,76,2,0,NA,0,1,4,8,-4,-1.19,-2.77,3.9,6.3,-2.4,-0.7,-0.47,239,13,61,150,29,1,239,0,0,NA,2,2,168,1,0,1,0,0,0.3,0,0,NA,25.1,0,0,0,0,0,0.03,0,0,4,4,303,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.2,0.01,0.04,0.05,0.01,0.05
Junior Hoilett,FW,Canada,32,1990,1.8,8,4,1,2,5,3,4,75,1,0,0,0,1,9,0,0,7,3.91,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,1,13,1,4,0,0,0,8,0,0,NA,43,59,72.9,743,324,23,26,88.5,10,14,71.4,7,13,53.8,0,0.4,0.4,-0.4,4,3,6,3,6,59,50,8,0,0,0,13,1,5,1,4,0,43,1,2,3,161,54,59.6,2,66,0,1,29,0,0,1,5,-4,-2.24,-1.41,3.5,2.5,1,0.57,1.13,78,0,5,35,39,2,78,2,7,28.6,5,2,47,6,0,4,0,0,2.24,0,0,NA,24.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,3,2,161,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.08,0.21,0.28,0.08,0.28
Junya Ito,MF,Japan,29,1993,3.6,7,4,3,3,1,5,9,55.6,4,4,1,3,5,12,6,0,10,3.06,4,2,1,1,1,1,2,0.61,2,0,0,0,0,0,0,0,0,0,5,1,14,5,4,0,0,0,17,3,6,33.3,59,97,60.8,752,288,40,52,76.9,16,22,72.7,1,12,8.3,1,0.2,0.1,0.8,5,2,2,1,5,97,80,15,1,0,0,14,9,5,0,3,0,59,2,4,4,324,81,83.1,3,100,3,1,24,0,1.75,5,4,1,0.28,0.28,4.5,5.6,-1.1,-0.34,-0.75,134,6,42,49,46,4,134,2,8,25,6,3,68,8,0,2,1,50,0.56,0.28,0,0,11.1,0,0,0,0.2,0.2,0.09,-0.2,-0.2,4,3,324,0,1,0,0,0,0,0,0,0.28,0.28,0,0.28,0.2,0.2,0.2,0.4,0.05,0.07,0.12,0.05,0.12
Jurri??n Timber,DF,Netherlands,21,2001,3,9,5,5,4,0,6,6,100,0,1,0,1,7,16,11,0,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,7,5,0,0,0,22,3,2,60,195,216,90.3,2910,901,105,110,95.5,76,81,93.8,9,18,50,0,0,0,0,0,25,0,0,8,216,207,8,6,1,0,0,2,0,0,0,0,195,1,0,3,270,90,75,3,90,3,0,NA,1,2.33,6,2,4,1.33,-0.67,3.4,3.3,0.1,0.03,0.25,254,12,87,163,7,0,254,3,4,75,5,2,182,2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kai Havertz,FW,Germany,23,1999,1.1,1,1,0,1,0,0,1,0,1,0,0,0,1,2,0,0,7,6.12,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,1,1,0,0,0,3,0,2,0,27,34,79.4,388,89,12,14,85.7,10,10,100,2,2,100,0,0.2,0.5,-0.2,2,2,3,1,4,34,32,2,0,0,0,2,0,0,0,0,0,27,0,1,2,102,51,37.8,1,78,0,1,24,1,1.5,4,2,2,1.76,2.3,6,1.9,4.1,3.59,2.22,46,0,1,18,27,11,46,0,0,NA,4,0,36,7,2,5,3,60,4.41,2.65,0.4,0.67,13.1,0,0,0,1.4,1.4,0.27,0.6,0.6,2,1,102,2,0,2,0,0,0,0,1.76,0,1.76,1.76,1.76,1.4,1.4,0.2,1.6,1.19,0.17,1.36,1.19,1.36
Kalidou Koulibaly,DF,Senegal,31,1991,4,12,9,10,2,0,7,11,63.6,4,4,1,3,2,14,30,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,2,9,0,0,0,28,11,5,68.8,156,205,76.1,3196,1327,49,52,94.2,80,88,90.9,23,55,41.8,0,0,0,0,1,12,0,0,9,205,185,20,18,0,4,0,0,0,0,0,0,156,0,3,4,360,90,100,4,90,4,0,NA,0,1.5,5,7,-2,-0.5,NA,4.6,3.5,1,0.26,NA,260,48,151,108,6,3,260,0,0,NA,1,1,140,0,1,2,1,50,0.5,0.25,0.5,1,7.9,0,0,0,0.5,0.5,0.25,0.5,0.5,4,4,360,1,0,1,0,0,1,0,0.25,0,0.25,0.25,0.25,0.5,0.5,0,0.5,0.12,0.01,0.13,0.12,0.13
Kalvin Phillips,MF,England,27,1995,0.5,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,1,2.14,1,0,0,0,0,0,1,2.14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,17,19,89.5,363,97,4,4,100,9,10,90,3,3,100,1,0.1,0,0.9,1,2,0,0,1,19,19,0,0,0,0,0,0,0,0,0,0,17,0,0,2,42,21,11.7,0,NA,0,2,21,2,3,1,0,1,2.14,-0.4,1.4,0.4,0.9,2.01,1.38,20,1,8,12,0,0,20,0,0,NA,0,0,18,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,2,0,42,0,1,0,0,0,0,0,0,2.14,2.14,0,2.14,0,0,0.1,0.1,0,0.17,0.17,0,0.17
Kamal Miller,DF,Canada,25,1997,3,6,4,5,1,0,2,3,66.7,1,1,1,0,4,10,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,4,4,0,0,0,14,7,5,58.3,186,205,90.7,3184,1385,83,86,96.5,84,89,94.4,15,23,65.2,0,0,0,0,0,21,0,0,10,205,194,9,5,0,0,0,4,0,0,0,0,186,2,1,3,270,90,100,3,90,3,0,NA,0,0,2,7,-5,-1.67,NA,4.2,3.9,0.3,0.11,NA,229,18,97,126,6,0,229,1,2,50,1,1,173,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,3,3,270,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamaldeen Sulemana,FW,Ghana,20,2002,0.6,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,4,0,0,0,0,0,0,2,1,66.7,10,19,52.6,124,31,8,10,80,2,4,50,0,1,0,0,0,0,0,0,0,1,0,1,19,19,0,0,0,0,4,0,0,0,0,0,10,0,3,2,58,29,21.5,0,NA,0,2,29,1,1.5,0,0,0,0,0.85,0.7,0.8,-0.1,-0.1,0.48,28,2,3,5,22,4,28,1,5,20,1,1,24,4,0,1,1,100,1.55,1.55,0,0,21.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,2,0,58,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.09,0,0.09,0.09,0.09
Kamil Glik,DF,Poland,34,1988,4,2,1,1,1,0,2,3,66.7,1,2,1,1,3,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,11,4,3,57.1,118,130,90.8,2363,657,29,29,100,76,81,93.8,12,19,63.2,0,0,0,0,0,2,0,0,1,130,125,5,4,0,0,0,0,0,0,0,0,118,0,0,4,360,90,100,4,90,4,0,NA,0,1,3,5,-2,-0.5,NA,4.5,7.3,-2.7,-0.69,NA,167,29,92,70,5,4,167,0,0,NA,0,0,105,0,0,3,0,0,0.75,0,0,NA,11.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,4,4,360,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06
Kamil Grosicki,MF,Poland,34,1988,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NA,4,6,66.7,61,30,3,3,100,0,1,0,1,1,100,0,0.1,0.1,-0.1,1,0,1,1,0,6,6,0,0,0,0,3,0,0,0,0,0,4,0,0,1,4,4,1.1,0,NA,0,1,4,3,0,1,1,0,0,0.51,1,0,0.9,20.6,21.53,6,0,0,2,4,1,6,1,1,100,0,0,6,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1.69,1.69,0,1.69
Kaoru Mitoma,MF,Japan,25,1997,1.8,7,2,6,0,1,3,3,100,0,4,1,3,2,9,5,0,9,6,5,0,1,1,1,1,1,0.67,1,0,0,0,0,0,0,0,0,3,1,0,0,2,2,0,0,0,17,2,3,40,50,70,71.4,723,150,31,39,79.5,13,18,72.2,4,8,50,1,1.2,0.4,-0.2,3,1,2,0,3,70,57,13,0,0,0,0,13,0,0,0,0,50,0,2,4,165,41,42.3,0,NA,0,4,41,0,1.75,4,1,3,1.64,2.44,3.4,2.3,1.1,0.71,1.32,100,9,42,30,32,4,100,2,5,40,5,2,47,3,0,1,1,100,0.55,0.55,0,0,21.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,4,0,165,0,1,0,0,0,0,0,0,0.55,0.55,0,0.55,0.1,0.1,1.2,1.3,0.05,0.83,0.88,0.05,0.88
Karim Ansarifard,FW,IR Iran,32,1990,0.4,0,0,0,0,0,0,0,NA,0,1,0,1,1,1,0,0,3,7.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,4,5,80,48,10,2,3,66.7,1,1,100,0,0,NA,0,0.1,0,-0.1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,2,35,18,13,0,NA,0,2,18,1,1.5,2,0,2,5.14,7.06,0.9,0.4,0.5,1.22,1.77,11,0,1,5,5,2,11,0,0,NA,2,1,6,1,0,1,0,0,2.57,0,0,NA,21.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.17,0.2,0.36,0.17,0.36
Karim Boudiaf,MF,Qatar,32,1990,2.1,2,1,0,2,0,2,5,40,3,0,0,0,0,2,3,0,3,1.46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,12,6,7,46.2,94,106,88.7,1555,406,43,49,87.8,37,42,88.1,10,11,90.9,0,0,0,0,0,9,0,0,5,106,103,3,3,0,2,0,0,0,0,0,0,94,0,0,3,185,62,68.5,2,79,1,1,27,0,0,0,4,-4,-1.95,0.17,1.1,1.7,-0.6,-0.3,1.31,122,4,27,90,7,2,122,1,3,33.3,4,2,83,4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,3,2,185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl Toko Ekambi,FW,Cameroon,30,1992,1.8,1,1,0,1,0,0,1,0,1,1,0,1,2,3,0,0,6,3.25,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,1,0,0,0,8,1,4,20,43,53,81.1,784,115,23,27,85.2,13,13,100,7,10,70,0,0.3,0.4,-0.3,3,3,0,0,0,53,50,3,1,0,1,3,0,2,0,2,0,43,0,2,3,166,55,61.5,2,70,0,1,27,0,1.33,4,4,0,0,0,3.1,3.9,-0.8,-0.42,0.95,66,1,7,38,24,5,66,1,4,25,3,4,47,5,0,2,1,50,1.08,0.54,0,0,15.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,3,2,166,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0.1,0.14,0.24,0.1,0.24
Karol <c5>?widerski,FW,Poland,25,1997,0.5,4,1,1,1,2,2,3,66.7,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,3,1,1,50,7,7,100,113,6,3,3,100,3,3,100,1,1,100,0,0,0,0,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,7,0,0,1,45,45,12.5,1,45,0,0,NA,3,0,0,0,0,0,0.57,0.2,1.8,-1.6,-3.1,-2.76,14,0,3,7,5,0,14,0,0,NA,3,0,6,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kasper Dolberg,FW,Denmark,25,1997,1.3,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,2,1.58,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,0,0,3,0,1,0,15,18,83.3,186,38,8,11,72.7,6,6,100,0,0,NA,0,0.1,0,-0.1,1,0,2,1,2,18,15,3,0,0,0,1,0,0,0,0,0,15,0,0,3,114,38,42.2,1,64,0,2,25,0,0.33,0,2,-2,-1.58,-1.58,0.8,2.1,-1.3,-1.04,-1.11,34,1,4,12,19,4,34,1,3,33.3,9,4,27,12,0,3,1,33.3,2.37,0.79,0,0,8.6,0,0,0,0.4,0.4,0.13,-0.4,-0.4,3,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.31,0.05,0.37,0.31,0.37
Kasper Schmeichel,GK,Denmark,36,1986,3,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,100,72,87,82.8,1830,1388,16,16,100,36,36,100,20,35,57.1,0,0,0,0,0,3,0,0,1,87,69,18,1,0,0,0,1,0,0,0,0,72,0,0,3,270,90,100,3,90,3,0,NA,0,0.33,1,3,-2,-0.67,NA,2.7,3.9,-1.2,-0.39,NA,91,73,89,2,0,0,91,0,0,NA,0,0,42,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keanu Baccus,MF,Australia,24,1998,1.3,1,1,1,0,0,0,2,0,2,5,0,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,1,0,0,0,11,1,3,25,26,41,63.4,479,142,11,16,68.8,9,12,75,4,9,44.4,0,0,0,0,0,2,1,0,2,41,41,0,0,1,1,0,0,0,0,0,0,26,0,1,4,114,29,31.7,1,57,0,3,19,0,1.5,1,2,-1,-0.79,-0.42,0.5,1.6,-1.1,-0.89,0.5,59,0,19,30,10,0,59,0,1,0,2,2,31,5,0,1,0,0,0.79,0,0,NA,23.9,0,0,0,0,0,0.05,0,0,4,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04
Kellyn Acosta,MF,United States,27,1995,0.5,3,2,3,0,0,2,2,100,0,0,0,0,0,3,0,0,1,2.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,2,1,0,100,10,12,83.3,165,29,3,4,75,7,7,100,0,0,NA,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0,2,43,22,11.9,0,NA,0,2,22,2,2,0,1,-1,-2.09,-2.09,0.4,1.1,-0.7,-1.57,-1.69,16,0,3,8,5,0,16,0,0,NA,0,0,10,2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,2,0,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendall Waston,DF,Costa Rica,34,1988,2.5,7,4,6,1,0,3,4,75,1,2,1,1,5,12,14,0,1,0.4,0,0,0,1,0,0,1,0.4,0,0,0,1,0,0,0,0,0,1,0,0,0,5,4,0,0,0,10,4,3,57.1,57,71,80.3,1225,437,16,19,84.2,32,35,91.4,8,15,53.3,0,0,0,0,0,1,0,0,0,71,69,2,2,0,0,0,0,0,0,0,0,57,0,0,3,225,75,83.3,2,90,2,1,45,0,1,3,8,-5,-2,4,1.4,7.7,-6.2,-2.49,2.46,107,30,75,28,4,3,107,0,0,NA,1,1,59,0,0,1,1,100,0.4,0.4,0,0,10.5,0,0,0,0.2,0.2,0.15,-0.2,-0.2,3,2,225,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06
Kenneth Taylor,MF,Netherlands,20,2002,0.1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,8,100,112,37,6,6,100,1,1,100,1,1,100,0,0,0,0,0,1,0,0,1,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,1,5,5,1.4,0,NA,0,1,5,3,3,0,0,0,0,-1.52,0,0,0,0.09,0.12,9,0,1,6,2,0,9,0,0,NA,0,0,8,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin De Bruyne,FW,Belgium,31,1991,3,1,1,1,0,0,0,2,0,2,2,0,2,0,1,3,0,11,3.67,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,0,1,0,0,0,11,4,0,100,93,136,68.4,1807,747,38,45,84.4,40,54,74.1,15,27,55.6,0,0.9,0.8,-0.9,8,17,9,2,21,136,118,17,5,4,2,18,5,7,0,6,0,93,1,8,3,270,90,100,3,90,3,0,NA,0,1.33,1,2,-1,-0.33,NA,4.7,4.6,0.2,0.05,NA,163,0,17,74,76,3,163,4,8,50,7,4,112,19,0,7,2,28.6,2.33,0.67,0,0,23.3,1,0,0,0.2,0.2,0.03,-0.2,-0.2,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,0.08,0.3,0.38,0.08,0.38
Kevin Rodr??guez,FW,Ecuador,22,2000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,0.7,0,NA,0,2,1,1,2,0,0,0,0,-0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,50,90,45,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin <c3>?lvarez,DF,Mexico,23,1999,0.8,1,0,1,0,0,1,1,100,0,2,0,2,1,2,2,0,1,1.29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,4,0,2,0,19,29,65.5,262,76,11,15,73.3,8,12,66.7,0,1,0,0,0,0,0,0,1,0,0,2,29,20,9,0,0,0,1,9,0,0,0,0,19,0,1,2,70,35,25.9,1,65,0,1,5,1,1.5,0,2,-2,-2.57,-3.02,0.4,0.8,-0.4,-0.53,-1.12,38,1,10,12,16,2,38,1,3,33.3,0,1,16,2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,2,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keylor Navas,GK,Costa Rica,35,1986,3,1,0,1,0,0,1,1,100,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,61,102,59.8,2135,1522,7,7,100,25,25,100,29,68,42.6,0,0,0,0,0,1,0,0,0,102,60,41,8,0,0,0,0,0,0,0,0,61,1,0,3,270,90,100,3,90,3,0,NA,0,1,3,11,-8,-2.67,NA,1.4,10.1,-8.7,-2.9,NA,114,108,114,0,0,0,114,0,0,NA,0,0,33,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keysher Fuller,DF,Costa Rica,28,1994,2.8,4,4,3,1,0,3,7,42.9,4,2,0,2,3,7,9,0,3,1.07,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,3,4,0,0,0,11,0,1,0,44,63,69.8,663,194,21,27,77.8,21,26,80.8,1,7,14.3,0,0.2,0.1,-0.2,1,2,0,0,1,63,55,8,1,0,0,2,7,0,0,0,0,44,0,2,3,253,84,93.7,3,84,2,0,NA,0,1,3,9,-6,-2.13,8.45,1.4,7.4,-6,-2.14,12.11,92,11,38,36,19,4,92,1,2,50,4,1,47,5,1,3,2,66.7,1.07,0.71,0.33,0.5,15.5,0,0,0,0.4,0.4,0.13,0.6,0.6,3,3,253,1,0,1,0,0,0,0,0.36,0,0.36,0.36,0.36,0.4,0.4,0.2,0.5,0.14,0.05,0.19,0.14,0.19
Kieffer Moore,FW,Wales,30,1992,2.5,1,0,1,0,0,0,0,NA,0,3,1,2,2,3,7,0,6,2.4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,2,0,0,0,0,7,11,6,64.7,36,56,64.3,564,87,17,27,63,15,20,75,2,2,100,0,0.2,0.1,-0.2,4,3,1,0,3,56,56,0,0,0,1,0,0,0,0,0,0,36,0,2,3,225,75,83.3,2,90,2,1,45,0,0.33,1,5,-4,-1.6,0.4,2.6,3.9,-1.4,-0.55,0.44,95,8,11,38,46,12,95,0,1,0,10,3,71,15,0,6,2,33.3,2.4,0.8,0,0,16.2,0,0,0,1,1,0.17,-1,-1,3,2,225,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,1.3,0.41,0.1,0.51,0.41,0.51
Kieran Trippier,DF,England,32,1990,2.3,6,4,4,2,0,5,6,83.3,1,3,1,2,1,7,4,0,5,2.18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,4,0,0,0,11,4,1,80,165,195,84.6,2930,762,80,84,95.2,68,76,89.5,16,29,55.2,0,0.1,0.2,-0.1,3,11,2,0,13,195,156,39,9,0,1,10,22,8,2,6,0,165,0,3,3,206,69,57.2,2,90,2,1,26,1,2.33,7,2,5,2.18,-0.74,4.1,2.2,1.9,0.82,0.06,205,5,53,111,45,1,205,1,1,100,1,1,133,4,0,1,0,0,0.44,0,0,NA,27.2,1,0,0,0,0,0.05,0,0,3,2,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.02,0.07,0.09,0.02,0.09
Kim Jin-su,DF,Korea Republic,30,1992,3.5,10,5,6,2,2,5,6,83.3,1,2,0,2,3,13,5,0,7,2,6,0,0,0,0,1,1,0.29,1,0,0,0,0,0,0,0,0,1,6,1,16,3,5,0,0,0,12,10,4,71.4,105,146,71.9,1901,672,47,51,92.2,44,62,71,11,25,44,1,0.6,0.6,0.4,5,5,4,3,7,146,115,31,1,0,0,16,30,0,0,0,0,105,0,4,4,315,79,87.5,4,79,3,0,NA,0,1,4,8,-4,-1.14,-3.14,4.3,6.3,-2,-0.57,0.49,175,9,50,60,68,10,175,0,2,0,4,0,97,8,0,4,0,0,1.14,0,0,NA,11.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,4,4,315,0,1,0,0,0,0,0,0,0.29,0.29,0,0.29,0.3,0.3,0.6,0.9,0.09,0.17,0.27,0.09,0.27
Kim Min-jae,DF,Korea Republic,26,1996,3,2,1,2,0,0,1,1,100,0,5,1,4,2,4,8,0,1,0.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,14,10,1,90.9,167,191,87.4,3337,1234,60,65,92.3,85,90,94.4,20,29,69,0,0,0.1,0,0,19,1,0,10,191,190,0,0,0,6,1,0,0,0,0,0,167,1,2,3,269,90,74.7,3,90,2,0,NA,1,0.33,3,7,-4,-1.34,-2.33,2.8,5.8,-3,-1.02,-1.53,213,29,91,102,21,3,213,1,1,100,1,0,153,1,0,2,0,0,0.67,0,0,NA,8.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,3,3,269,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
